nome_fundo;CNPJ;PL_20210114;share
GIANT ZARATHUSTRA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.525.548/0001-49;1219.5;0.7
LEGACY CAPITAL RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.741.788/0001-83;1238.16;0.7
CSHG VERDE AM BETA 14 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;04.806.420/0001-10;1176.44;0.69
SENTINEL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.119.482/0001-61;1124.42;0.65
LEGACY CAPITAL STB I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.741.932/0001-81;1126.21;0.64
CSHG VERDE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;01.221.890/0001-24;1083.69;0.63
PACIFICO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;22.354.046/0001-41;1070.22;0.62
SAFARI 45 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO II;31.533.638/0001-11;1024.8;0.62
CSHG MASTER GOLD ATIVO II FUNDO DE INVESTIMENTO MULTIMERCADO - CREDITO PRIVADO INVESTIMENTO NO EXTER;31.525.221/0001-07;1094.96;0.61
SAFRA GLOBAL EQUITIES FUNDO DE INVESTIMENTO MULTIMERCADO;19.226.446/0001-67;1061.71;0.61
BTG PACTUAL DISCOVERY FUNDO DE INVESTIMENTO MULTIMERCADO;01.214.092/0001-75;1032.11;0.59
DAHLIA TOTAL RETURN CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.242.437/0001-13;987.71;0.58
KADIMA HIGH VOL FUNDO DE INVESTIMENTO MULTIMERCADO;14.146.496/0001-10;984.68;0.58
CSHG PORTFOLIO FUTURE TRENDS FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO - IE;28.971.607/0001-38;976.18;0.57
TRUXT LONG BIAS ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.830.162/0001-18;941.5;0.56
AZ QUEST MULTI MAX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.323.079/0001-85;959.06;0.54
NAVI LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO;26.680.221/0001-41;937.28;0.54
XP LONG BIASED 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25.224.843/0001-00;941.59;0.54
SPX ESTRATÉGIA NIMITZ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21.306.424/0001-59;913.23;0.53
ADAM MACRO STRATEGY II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.951.048/0001-80;908.38;0.52
APEX EQUITY HEDGE STR FUNDO DE INVESTIMENTO MULTIMERCADO;15.182.407/0001-54;891.58;0.52
ADAM ADVANCED 1 FICFI MM CRÉDITO PRIVADO IE;24.119.462/0001-90;859.75;0.49
LEGACY CAPITAL P FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;33.150.614/0001-09;843.57;0.48
ABSOLUTE VERTEX ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.947.266/0001-65;816.79;0.47
MOAT CAPITAL EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.140.256/0001-62;809.68;0.46
WPA MASTER MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;26.406.328/0001-04;795.51;0.46
XP DEBENTURES INCENTIVADAS CRÉDITO PRIVADO FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.657.463/0001-59;808.89;0.46
VERDE AM X60 ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.403.590/0001-27;773.03;0.45
GARDE DARTAGNAN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.212.817/0001-51;767.19;0.44
