nome_fundo;CNPJ;PL_20210114;share
KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.441.308/0001-47;754.64;0.44
FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST CAIXA ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;34.660.333/0001-69;740.14;0.43
ADAM MACRO STRATEGY ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.979.285/0001-50;726.49;0.42
IBIUNA HEDGE STHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.137.326/0001-68;713.14;0.41
SAFRA KEPLER EQUITY HEDGE FUNDO DE INVESTIMENTO MULTIMERCADO;25.079.578/0001-06;711.5;0.41
IBIUNA HEDGE STS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.647.981/0001-82;698.31;0.4
AZ QUEST TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;14.812.722/0001-55;672.16;0.39
VERDE AM V60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.592.680/0001-40;669.45;0.39
BAHIA AM LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.732.231/0001-95;649.18;0.38
GAP ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;01.823.373/0001-25;649.97;0.38
NAVI LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;12.430.199/0001-77;669.33;0.38
SAFRA GALILEO PJ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.249.932/0001-29;675.81;0.38
VISTA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;21.646.715/0001-96;646.37;0.38
EXPLORITAS ALPHA AMERICA LATINA FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO;19.628.666/0001-17;632.42;0.36
JGP EQUITY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.143.318/0001-04;606.92;0.36
LEGACY CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.586.677/0001-14;632.21;0.36
TRUXT I MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.277.600/0001-95;621.91;0.36
ABSOLUTE VERTEX RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.963.220/0001-44;604.28;0.35
GIANT ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;11.052.478/0001-81;606.76;0.35
BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MACRO;12.085.947/0001-21;591.79;0.34
SAFRA KEPLER FUNDO DE INVESTIMENTO MULTIMERCADO;21.144.577/0001-47;597.91;0.34
ABSOLUTE ESTRATÉGIA VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.944.378/0001-08;567.36;0.33
FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO GARDE DUMAS;18.961.501/0001-08;551.86;0.32
PIMCO INCOME PVT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO IE;27.945.462/0001-38;558.11;0.32
BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO GLOBAL INVESTIMENTO NO EXTERIOR - BALANCED;24.752.497/0001-62;527.85;0.31
IBIUNA LONG SHORT STLS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.391.138/0001-24;535.1;0.31
NIRVANA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08.817.499/0001-36;559.33;0.31
HEDGE ALTERNATIVE INVESTMENTS FICFI MULTIMERCADO CRÉDITO PRIVADO;06.867.811/0001-70;526.01;0.3
ADAM ADVANCED II FI EM COTAS DE FI MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;24.018.977/0001-02;514.16;0.29
BB MULTIMERCADO LONGO PRAZO GLOBAL VITA PRIVATE FUNDO DE INVESTIMENTO;11.802.604/0001-78;494.23;0.29
SOLANA LONG AND SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.772.290/0001-57;513.5;0.29
TAVOLA ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09.141.867/0001-31;506.36;0.29
TRUXT I LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.210.505/0001-74;486.05;0.29
ADAM MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.078.037/0001-09;496.37;0.28
CANVAS ENDURO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.480.735/0001-25;485.19;0.28
GAUSS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.592.505/0001-50;475.7;0.28
